model,avg_rwd,max_episode_rwd,success_rate,Min_Collision,Avg_Steps
DQN,-2178.778188896179,-699.3095457553864,89.0,0,113.23595505617978
PPO,-25187.566490883826,-11720.288047790527,1.0,53,698.0
